Park_Name,State,Acres,Annual_Visitors,Visitors_Per_Acre
Gateway Arch,Missouri,91,1145081,12583.31
Hot Springs,Arkansas,5554.15,2162884,389.42
New River Gorge,West Virginia,7021,1682720,239.67
Indiana Dunes,Indiana,15349.08,3177210,207
Acadia,Maine,49071.4,4069098,82.92
Cuyahoga Valley,Ohio,32571.88,2575275,79.06
Bryce Canyon,Utah,35835.08,2104600,58.73
Zion,Utah,147242.66,5039835,34.23
Great Smoky Mountains,North Carolina,522426.88,14161548,27.11
Haleakalā,Hawaii,33264.62,853181,25.65
Arches,Utah,76678.98,1806865,23.56
Virgin Islands,U.S. Virgin Islands,15052.33,323999,21.52
Wind Cave,South Dakota,33970.84,709001,20.87
Rocky Mountain,Colorado,265807.24,4434848,16.68
Pinnacles,California,26685.73,348857,13.07
Grand Teton,Wyoming,310044.36,3885230,12.53
Saguaro,Arizona,92867.42,1079786,11.63
Theodore Roosevelt,North Dakota,70446.89,796085,11.3
Mesa Verde,Colorado,52485.17,548477,10.45
Black Canyon of the Gunnison,Colorado,30779.83,308910,10.04
Mammoth Cave,Kentucky,54016.29,515774,9.55
Congaree,South Carolina,26692.6,215181,8.06
Shenandoah,Virginia,200192.09,1592312,7.95
Carlsbad Caverns,New Mexico,46766.45,349244,7.47
Mount Rainier,Washington,236381.64,1670063,7.07
Capitol Reef,Utah,241904.5,1405353,5.81
Great Sand Dunes,Colorado,107345.73,602613,5.61
White Sands,New Mexico,146344.31,782469,5.35
Badlands,South Dakota,242755.94,1224226,5.04
Yosemite,California,761747.5,3287595,4.32
Biscayne,Florida,172971.11,705655,4.08
Hawaiʻi Volcanoes,Hawaii,325605.28,1262747,3.88
Joshua Tree,California,795155.85,3064400,3.85
Grand Canyon,Arizona,1201647.03,4532677,3.77
Crater Lake,Oregon,183224.05,647751,3.54
Lassen Volcanic,California,106589.02,359635,3.37
Redwood,California,138999.37,435879,3.14
Glacier,Montana,1013126.39,3081656,3.04
Olympic,Washington,922649.41,2718925,2.95
Guadalupe Mountains,Texas,86367.1,243291,2.82
Canyonlands,Utah,337597.83,911594,2.7
Petrified Forest,Arizona,221390.21,590334,2.67
Sequoia,California,404062.63,1059548,2.62
Yellowstone,Wyoming,2219790.71,4860242,2.19
Great Basin,Nevada,77180,144875,1.88
Dry Tortugas,Florida,64701.22,83817,1.3
Channel Islands,California,249561,319252,1.28
Kings Canyon,California,461901.2,562918,1.22
Voyageurs,Minnesota,218222.35,243042,1.11
American Samoa,American Samoa,8256.67,8495,1.03
Big Bend,Texas,801163.21,581220,0.73
Everglades,Florida,1508938.57,942130,0.62
Kenai Fjords,Alaska,669650.05,411782,0.61
Death Valley,California,3408395.63,1146551,0.34
Isle Royale,Michigan,571790.3,25844,0.05
Denali,Alaska,4740911.16,229521,0.05
North Cascades,Washington,504780.94,17855,0.04
Glacier Bay,Alaska,3223383.43,89768,0.03
Wrangell–St. Elias,Alaska,8323146.48,50189,0.01
Lake Clark,Alaska,2619816.49,18278,0.01
Kobuk Valley,Alaska,1750716.16,11540,0.01
Katmai,Alaska,3674529.33,24764,0.01
Gates of the Arctic,Alaska,7523897.45,7362,0
