cohort_month,purchase_month,months_since_signup,returning_customers
2020-09-01,2020-09-01,0,627
2020-09-01,2020-10-01,1,24
2020-09-01,2020-11-01,2,5
2020-09-01,2020-12-01,3,2
2020-09-01,2021-01-01,4,1
2020-10-01,2020-10-01,0,3772
2020-10-01,2020-11-01,1,65
2020-10-01,2020-12-01,2,17
2020-10-01,2021-01-01,3,3
2020-10-01,2021-02-01,4,4
2020-11-01,2020-11-01,0,4258
2020-11-01,2020-12-01,1,68
2020-11-01,2021-01-01,2,26
2020-11-01,2021-02-01,3,7
2020-12-01,2020-12-01,0,3782
2020-12-01,2021-01-01,1,68
2020-12-01,2021-02-01,2,21
2021-01-01,2021-01-01,0,4673
2021-01-01,2021-02-01,1,117
2021-02-01,2021-02-01,0,4192
